
Cross-Validation 1             precision    recall  f1-score   support

        0.0       0.47      0.58      0.52        60
        1.0       0.19      0.15      0.17        47
        2.0       0.32      0.31      0.31        59
        3.0       0.33      0.22      0.26        23
        4.0       0.29      0.11      0.16        46
        5.0       0.46      0.77      0.58        71
        6.0       0.08      0.05      0.06        38
        7.0       0.42      0.56      0.48        36
        8.0       0.25      0.10      0.14        42
        9.0       0.29      0.33      0.31        57
       10.0       0.18      0.12      0.14        50
       11.0       0.30      0.08      0.12        38
       12.0       0.60      0.30      0.40        20
       13.0       0.19      0.12      0.15        41
       14.0       0.67      0.85      0.75        39
       15.0       0.53      0.38      0.44        50
       16.0       0.44      0.65      0.53        72
       17.0       0.10      0.12      0.11        57
       18.0       0.17      0.30      0.21        71
       19.0       0.15      0.06      0.09        33
       20.0       0.29      0.39      0.33        70
       21.0       0.17      0.19      0.18        64
       22.0       0.42      0.43      0.42        65
       23.0       0.18      0.24      0.20        72
       24.0       0.26      0.19      0.22        52
       25.0       0.38      0.13      0.19        23
       26.0       0.33      0.27      0.30        51
       27.0       0.56      0.53      0.54        53
       28.0       0.50      0.19      0.28        26

avg / total       0.32      0.32      0.31      1426




Cross-Validation 2             precision    recall  f1-score   support

        0.0       0.47      0.62      0.53        60
        1.0       0.24      0.19      0.21        47
        2.0       0.36      0.31      0.33        59
        3.0       0.29      0.09      0.13        23
        4.0       0.42      0.24      0.31        46
        5.0       0.45      0.85      0.59        71
        6.0       0.13      0.05      0.08        38
        7.0       0.65      0.72      0.68        36
        8.0       0.11      0.05      0.07        42
        9.0       0.31      0.32      0.31        57
       10.0       0.26      0.18      0.21        50
       11.0       0.00      0.00      0.00        38
       12.0       0.50      0.10      0.17        20
       13.0       0.33      0.24      0.28        41
       14.0       0.64      0.72      0.67        39
       15.0       0.31      0.28      0.29        50
       16.0       0.55      0.75      0.63        72
       17.0       0.23      0.25      0.24        57
       18.0       0.13      0.18      0.15        71
       19.0       0.36      0.15      0.21        33
       20.0       0.27      0.41      0.33        70
       21.0       0.17      0.22      0.19        64
       22.0       0.50      0.48      0.49        65
       23.0       0.24      0.26      0.25        72
       24.0       0.27      0.33      0.30        52
