
Cross-Validation 1             precision    recall  f1-score   support
       25.0       0.67      0.17      0.28        23
       26.0       0.33      0.31      0.32        51
       27.0       0.49      0.47      0.48        53
       28.0       0.35      0.23      0.28        26

avg / total       0.34      0.35      0.33      1426




Cross-Validation 3             precision    recall  f1-score   support

        0.0       0.47      0.60      0.53        60
        1.0       0.20      0.19      0.20        47
        2.0       0.31      0.25      0.28        59
        3.0       0.33      0.13      0.19        23
        4.0       0.30      0.17      0.22        46
        5.0       0.47      0.79      0.59        71
        6.0       0.25      0.11      0.15        38
        7.0       0.40      0.53      0.46        36
        8.0       0.09      0.05      0.06        42
        9.0       0.38      0.47      0.42        57
       10.0       0.26      0.20      0.23        50
       11.0       0.13      0.05      0.08        38
       12.0       0.67      0.10      0.17        20
       13.0       0.29      0.24      0.27        41
       14.0       0.62      0.72      0.67        39
       15.0       0.38      0.24      0.29        50
       16.0       0.55      0.74      0.63        72
       17.0       0.13      0.14      0.14        57
       18.0       0.19      0.30      0.23        71
       19.0       0.45      0.27      0.34        33
       20.0       0.26      0.34      0.30        70
       21.0       0.09      0.11      0.10        64
       22.0       0.56      0.48      0.52        65
       23.0       0.27      0.29      0.28        72
       24.0       0.33      0.33      0.33        52
       25.0       0.55      0.26      0.35        23
       26.0       0.34      0.27      0.30        51
       27.0       0.46      0.55      0.50        53
       28.0       0.22      0.15      0.18        26

avg / total       0.34      0.34      0.33      1426




Cross-Validation 4             precision    recall  f1-score   support

        0.0       0.57      0.63      0.60        60
        1.0       0.24      0.26      0.24        47
        2.0       0.32      0.29      0.30        59
        3.0       0.20      0.09      0.12        23
        4.0       0.28      0.15      0.20        46
        5.0       0.48      0.82      0.60        71
        6.0       0.00      0.00      0.00        38
        7.0       0.45      0.50      0.47        36
        8.0       0.10      0.05      0.06        42
        9.0       0.34      0.40      0.37        57
       10.0       0.29      0.22      0.25        50
       11.0       0.15      0.11      0.12        38
       12.0       0.60      0.15      0.24        20
       13.0       0.17      0.10      0.12        41
       14.0       0.58      0.79      0.67        39
       15.0       0.35      0.38      0.37        50
       16.0       0.52      0.65      0.58        72
       17.0       0.12      0.11      0.11        57
       18.0       0.18      0.31      0.23        71
       19.0       0.17      0.09      0.12        33
       20.0       0.34      0.40      0.37        70
       21.0       0.17      0.23      0.19        64
       22.0       0.51      0.49      0.50        65
       23.0       0.20      0.21      0.21        72
       24.0       0.24      0.17      0.20        52
       25.0       0.20      0.09      0.12        23
       26.0       0.32      0.27      0.29        51
       27.0       0.46      0.53      0.49        53
       28.0       0.30      0.12      0.17        26

avg / total       0.31      0.33      0.31      1426




Cross-Validation 5             precision    recall  f1-score   support

        0.0       0.39      0.53      0.45        60
        1.0       0.11      0.09      0.10        47
        2.0       0.42      0.32      0.37        59
        3.0       0.38      0.13      0.19        23
        4.0       0.55      0.24      0.33        46
        5.0       0.46      0.75      0.57        71
        6.0       0.36      0.11      0.16        38
        7.0       0.43      0.56      0.48        36
        8.0       0.23      0.07      0.11        42
        9.0       0.36      0.44      0.40        57
       10.0       0.28      0.18      0.22        50
       11.0       0.18      0.08      0.11        38
       12.0       0.38      0.15      0.21        20
       13.0       0.17      0.12      0.14        41
       14.0       0.58      0.82      0.68        39
       15.0       0.37      0.34      0.35        50
       16.0       0.52      0.65      0.58        72
       17.0       0.14      0.14      0.14        57
       18.0       0.19      0.30      0.23        71
       19.0       0.33      0.18      0.24        33
       20.0       0.25      0.40      0.31        70
       21.0       0.20      0.30      0.24        64
       22.0       0.47      0.38      0.42        65
       23.0       0.27      0.35      0.31        72
       24.0       0.35      0.37      0.36        52
       25.0       0.58      0.30      0.40        23
       26.0       0.23      0.14      0.17        51
       27.0       0.39      0.42      0.40        53
       28.0       0.33      0.19      0.24        26

avg / total       0.34      0.34      0.32      1426



